lastupdate.aqi.level,lastupdate.aqi.aqi,lastupdate.co.unit,lastupdate.co.value,lastupdate.no2.unit,lastupdate.no2.value,lastupdate.o3.unit,lastupdate.o3.value,lastupdate.pm10.unit,lastupdate.pm10.value,lastupdate.pm25.unit,lastupdate.pm25.value,lastupdate.so2.unit,lastupdate.so2.value,lastupdate.date,lastupdate.time,areaen,areath,lat,long,nameen,nameth,stationid,stationtype
1,15,ppm,0.32,ppb,0,ppb,10,µg/m³,29,µg/m³,N/A,ppb,0,2/9/2019,9:00,"Talat Yai, Mueang, Phuket","ต.ตลาดใหญ่ อ.เมือง, ภูเก็ต",7.884508,98.391318,Municipal Health Center,ศูนย์บริการสาธารณสุขเทศบาลภูเก็ต,43t,GROUND
1,18,ppm,0.8,ppb,8,ppb,15,µg/m³,30,µg/m³,18,ppb,N/A,2/9/2019,9:00,"Sateng, Mueang, Yala","ต.สะเตง อ.เมือง, ยะลา",6.546197,101.2831,White Elephant Park,สนามโรงพิธีช้างเผือก ,63t,GROUND
1,17,ppm,-,ppb,37,ppb,1,µg/m³,33,µg/m³,N/A,ppb,1,2/9/2019,9:00,"Pluak Daeng, Pluak Daeng, Rayong","ต.ปลวกแดง, อ.ปลวกแดง, ระยอง",12.97378,101.212844,Pluakdaeng District Health Office,สำนักงานสาธารณสุขอำเภอปลวกแดง,28t,GROUND
1,21,ppm,0.35,ppb,8,ppb,14,µg/m³,42,µg/m³,19,ppb,3,2/9/2019,9:00,"Map Ta Phut, Meuang, Rayong","ต.มาบตาพุด อ.เมือง, ระยอง",12.70862,101.166055,Health Promotion Hospital Maptaput,โรงพยาบาลส่งเสริมสุขภาพตำบลมาบตาพุด ,29t,GROUND
1,13,ppm,0.54,ppb,10,ppb,17,µg/m³,26,µg/m³,9,ppb,1,2/9/2019,9:00,"Tha Pradu, Meuang, Rayong","ต.ท่าประดู่ อ.เมือง, ระยอง",12.671521,101.275875,Agricultural Office,สำนักงานเกษตรจังหวัดระยอง ,30t,GROUND
1,24,ppm,0.19,ppb,7,ppb,12,µg/m³,48,µg/m³,15,ppb,1,2/9/2019,9:00,"Huai Pong, Meuang, Rayong","ต.ห้วยโป่ง อ.เมือง, ระยอง",12.735114,101.13562,"Field Crop Research Center, Rayong",ศูนย์วิจัยพืชไร่ระยอง ,31t,GROUND
1,20,ppm,0.2,ppb,22,ppb,7,µg/m³,40,µg/m³,N/A,ppb,2,2/9/2019,9:00,"Nern Pra, Meuang, Rayong","ต.เนินพระ อ.เมือง, ระยอง",12.706325,101.180975,"Government Complex, Rayong",ศูนย์ราชการจังหวัดระยอง ,74t,GROUND
1,16,ppm,0.54,ppb,1,ppb,23,µg/m³,19,µg/m³,11,ppb,1,2/9/2019,9:00,"Taphong, Mueang, Rayong","ต.ตะพง อ.เมือง, ระยอง",12.648576,101.32245,Khai Surasinghanat,ค่ายสุรสิงหนาท,m8,MOBILE
2,30,ppm,0.86,ppb,12,ppb,1,µg/m³,49,µg/m³,28,ppb,1,2/9/2019,9:00,"Na Mueang, Mueang, Ratchaburi","ต.หน้าเมือง, อ.เมือง, ราชบุรี",13.532555,99.814873,Environmental Office 8 ratchaburi,สำนักงานสิ่งแวดล้อมภาคที่8,26t,GROUND
3,84,ppm,0.77,ppb,18,ppb,5,µg/m³,63,µg/m³,46,ppb,3,2/9/2019,9:00,"Phra Bat, Meuang, Lampang","ต.พระบาท อ.เมือง, ลำปาง",18.278251,99.506447,"Meteorological stations, Lampang",สถานีอุตุนิยมวิทยาลำปาง,37t,GROUND
4,167,ppm,2.42,ppb,16,ppb,10,µg/m³,91,µg/m³,77,ppb,2,2/9/2019,9:00,"Sop Pat, Mae Mo, Lampang","ต.สบป้าด อ.แม่เมาะ, ลำปาง",18.250747,99.763986,"Health Promotion Hospital Sob Pad, Lampang",โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสบป้าด ,38t,GROUND
3,71,ppm,N/A,ppb,16,ppb,9,µg/m³,53,µg/m³,43,ppb,1,2/9/2019,9:00,"Ban Dong, Mae Mo, Lampang","ต.บ้านดง อ.แม่เมาะ, ลำปาง",18.419425,99.727046,Health Promotion Hospital ,โรงพยาบาลส่งเสริมสุขภาพตำบลท่าสี ,39t,GROUND
